School,Level,UA Name,Original Name,Effect
Dark,1,Слабкість,Weakness,conc. 1 хв: атаки цілі завдають мінімальний урон
Dark,1,Повільність,Slow,"conc.: −2 до ініціативи, −10 ft руху"
Dark,2,Вразливість,Vulnerability,"−2 AC (не нижче 10),  стакається"
Dark,2,Розклад,Decay,2 раунди: на початку ходу 2d8 + MOD necrotic
Dark,3,Замішання,Confusion,50% шанс втратити дію
Dark,3,Страждання,Suffering,−2 до attack rolls
Dark,3,Смуток,Sorrow,−2 morale: disadvantage на перший кидок
Dark,4,Сліпота,Blindness,"blinded,  зникає при отриманні урону"
Dark,4,Шал,Frenzy,"примусова атака найближчої цілі,  +2d6 dmg"
Dark,5,Ляльковод,Puppet Master,"control 1 цілі,  Wis save щохід"
Dark,5,Вампіризм,Vampirism,lifesteal 50% від завданого урону
Dark,5,Прокляття Потойбіччя,Curse of Netherworld,всі не-undead: 6d10 necrotic
Destr,1,Потойбічна стріла,Eldritch Arrow,3d10 fire
Destr,1,Кам'яні шипи,Stone Spikes,AoE хрест: 2d8 bludgeoning
Destr,2,Крижаний болт,Ice Bolt,"4d10 cold,  −10 ft"
Destr,2,Блискавка,Lightning Bolt,5d10 lightning
Destr,3,Вогняна куля,Fireball,8d6 fire
Destr,3,Вогняна стіна,Firewall,AoE лінія: 4d8/хід
Destr,3,Коло зими,Circle of Winter,AoE: 6d8 cold
Destr,4,Ланцюгова блискавка,Chain Lightning,4 цілі: 8d8 → /2
Destr,4,Метеоритний дощ,Meteor Shower,10d10 bludgeoning
Destr,5,Глибока заморозка,Deep Freeze,8d10 cold + vuln
Destr,5,Армагеддон,Armageddon,всі: 12d10 fire + центр physical
Destr,5,Імплозія,Implosion,15d10 force
Summ,1,Кулак Гніву,Fist of Wrath,3d10 force
Summ,1,Вогняна пастка,Fire Trap,2 міни: 3d10
Summ,2,Арканічний кристал,Arcane Crystal,"об'єкт,  вибух 4d10"
Summ,2,Підняття мертвих,Raise Dead,"revive,  −20% max HP"
Summ,3,Рій ос,Wasp Swarm,4d8 + −ініціатива
Summ,3,Примарні сили,Phantom Forces,копія з 1 HP
Summ,3,Землетрус,Earthquake,siege / prone
Summ,4,Бар'єр лез,Blade Barrier,wall + reflect
Summ,4,Вулик,Summon Hive,autonomous caster
Summ,5,Заклик елементалів,Summon Elementals,MOD істот
Summ,5,Арканічна броня,Arcane Armor,shield HP
Summ,5,Фенікс,Conjure Phoenix,CR≈MOD+4
Light,1,Божественна сила,Divine Strength,+1d6 radiant
Light,1,Поспіх,Haste,+ініціатива
Light,2,Регенерація,Regeneration,5% max HP/хід
Light,2,Очищення,Cleansing,dispel
Light,3,Витривалість,Endurance,+2 AC
Light,3,Праведна міць,Righteous Might,+2 atk
Light,3,Відбиття снарядів,Deflect Missile,−50% ranged
Light,4,Магічний імунітет,Magical Immunity,immune ≤ lvl
Light,4,Телепортація,Teleportation,reposition
Light,5,Божественна відплата,Divine Vengeance,scaling radiant
Light,5,Слово світла,Word of Light,undead nuke
Light,5,Воскресіння,Resurrection,revive
